# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	3.3	15.4
2	3.5	15.3
3	3.8	15.1
4	3.9	15.0
5	4.0	14.9
6	4.0	14.7
7	4.1	14.7
8	6.1	14.7
9	6.0	14.6
10	5.3	14.5
11	4.7	14.3
12	4.1	14.1
13	3.8	14.0
14	3.6	14.0
15	3.6	14.0
16	3.9	13.9
17	4.2	13.8
18	4.5	13.7
19	4.8	13.7
20	5.1	13.6
21	5.4	13.6
22	5.7	13.5
23	6.0	13.5
24	6.3	13.5
25	5.0	13.5
26	5.7	13.4
27	6.3	13.4
28	6.7	13.4
29	7.0	13.4
30	7.4	13.4
31	7.7	13.3
32	9.9	13.3
33	9.9	13.3
34	9.0	13.3
35	8.3	13.3
36	7.6	13.2
37	7.2	13.2
38	7.0	13.2
39	7.0	13.2
40	7.4	13.2
41	8.0	13.2
42	8.3	13.2
43	8.5	13.1
44	8.8	13.1
45	9.0	13.1
46	9.2	13.1
47	9.5	13.1
48	9.7	13.0
49	7.7	13.0
50	7.6	13.0
51	7.5	13.0
52	7.5	12.9
53	7.4	12.9
54	7.4	12.9
55	7.3	12.9
56	9.2	12.9
57	9.1	12.8
58	8.3	12.8
59	7.7	12.8
60	7.2	12.8
61	6.9	12.8
62	6.7	12.8
63	6.7	12.8
64	6.9	12.7
65	7.3	12.7
66	7.4	12.7
67	7.5	12.7
68	7.6	12.7
69	7.7	12.7
70	7.9	12.6
71	8.0	12.6
72	8.0	12.6
73	6.3	12.6
74	6.6	12.6
75	6.8	12.6
76	6.9	12.5
77	7.1	12.5
78	7.2	12.5
79	7.3	12.5
80	9.3	12.5
81	9.3	12.5
82	9.1	12.5
83	8.9	12.4
84	8.8	12.4
85	8.7	12.4
86	8.7	12.4
87	8.7	12.4
88	8.8	12.3
89	9.0	12.3
90	9.1	12.3
91	9.2	12.3
92	9.4	12.3
93	9.5	12.3
94	9.6	12.2
95	9.8	12.2
96	10.0	12.2
97	8.0	12.2
98	8.0	12.2
99	8.0	12.2
100	8.0	12.1
101	8.0	12.1
102	8.0	12.1
103	8.0	12.1
104	9.9	12.1
105	9.9	12.1
106	9.5	12.1
107	9.1	12.1
108	8.7	12.1
109	8.5	12.1
110	8.4	12.0
111	8.3	12.0
112	8.5	12.0
113	8.7	12.0
114	8.9	12.0
115	9.0	12.0
116	9.2	12.0
117	9.3	12.0
118	9.5	12.0
119	9.6	12.0
120	9.9	12.0
121	8.0	12.0
122	8.2	12.0
123	8.5	11.9
124	8.6	11.9
125	8.7	11.9
126	8.8	11.9
127	8.9	11.9
128	11.0	11.9
129	11.0	11.9
130	10.7	11.8
131	10.4	11.8
132	10.2	11.8
133	10.0	11.8
134	10.0	11.8
135	10.0	11.8
136	10.1	11.8
137	10.3	11.8
138	10.4	11.8
139	10.6	11.8
140	10.7	11.8
141	10.8	11.8
142	11.0	11.8
143	11.1	11.7
144	11.2	11.7
145	9.3	11.7
146	9.3	11.7
147	9.3	11.7
148	9.3	11.7
149	9.3	11.7
150	9.3	11.7
151	9.3	11.7
152	11.3	11.7
153	11.1	11.7
154	10.2	11.7
155	9.4	11.6
156	8.6	11.6
157	8.1	11.6
158	7.8	11.6
159	7.9	11.6
160	8.2	11.6
161	8.8	11.6
162	8.9	11.6
163	9.1	11.6
164	9.2	11.6
165	9.4	11.6
166	9.5	11.6
167	9.7	11.6
168	9.9	11.6
169	8.2	11.6
170	8.4	11.6
171	8.6	11.6
172	8.8	11.6
173	8.9	11.6
174	9.1	11.5
175	9.2	11.5
176	11.2	11.5
177	11.2	11.5
178	10.9	11.5
179	10.7	11.5
180	10.8	11.5
181	10.8	11.5
182	10.3	11.5
183	10.1	11.5
184	10.1	11.5
185	10.3	11.5
186	10.5	11.5
187	10.7	11.5
188	10.9	11.5
189	11.1	11.5
190	11.2	11.5
191	11.4	11.5
192	11.6	11.5
193	9.8	11.5
194	9.9	11.5
195	10.0	11.5
196	10.0	11.5
197	10.0	11.4
198	10.1	11.4
199	10.2	11.4
200	12.1	11.4
201	12.1	11.4
202	11.7	11.4
203	11.4	11.4
204	11.1	11.4
205	10.9	11.4
206	10.8	11.4
207	10.8	11.4
208	10.9	11.4
209	11.2	11.4
210	11.3	11.4
211	11.3	11.4
212	11.5	11.4
213	11.5	11.4
214	11.5	11.4
215	11.5	11.3
216	11.6	11.3
217	9.7	11.3
218	9.7	11.3
219	9.7	11.3
220	9.7	11.3
221	9.7	11.3
222	9.7	11.3
223	9.7	11.3
224	11.7	11.3
225	11.6	11.3
226	11.2	11.3
227	10.8	11.3
228	10.5	11.3
229	10.4	11.3
230	10.2	11.3
231	10.2	11.3
232	10.3	11.2
233	10.6	11.2
234	10.7	11.2
235	10.8	11.2
236	11.0	11.2
237	10.8	11.2
238	10.9	11.2
239	11.0	11.2
240	11.0	11.2
241	9.2	11.2
242	9.2	11.2
243	9.3	11.2
244	9.3	11.2
245	9.3	11.2
246	9.3	11.2
247	9.3	11.2
248	11.3	11.2
249	11.2	11.2
250	10.5	11.2
251	9.9	11.2
252	9.3	11.1
253	8.9	11.1
254	8.7	11.1
255	8.6	11.1
256	8.8	11.1
257	9.2	11.1
258	9.5	11.1
259	9.8	11.1
260	10.0	11.1
261	10.3	11.1
262	10.6	11.1
263	10.9	11.1
264	11.2	11.1
265	9.8	11.0
266	10.4	11.0
267	11.1	11.0
268	11.5	11.0
269	11.8	11.0
270	12.2	11.0
271	12.5	11.0
272	14.7	11.0
273	14.7	11.0
274	14.3	11.0
275	14.0	11.0
276	13.6	11.0
277	13.4	11.0
278	13.7	11.0
279	13.8	11.0
280	14.1	11.0
281	14.5	11.0
282	14.6	11.0
283	14.7	11.0
284	14.9	11.0
285	15.0	11.0
286	15.1	11.0
287	15.3	10.9
288	15.4	10.9
289	13.2	10.9
290	13.1	10.9
291	12.5	10.9
292	12.3	10.9
293	12.1	10.9
294	11.9	10.9
295	11.8	10.9
296	13.6	10.9
297	13.4	10.9
298	12.8	10.9
299	12.2	10.9
300	11.8	10.9
301	11.4	10.9
302	11.3	10.9
303	11.2	10.9
304	11.4	10.9
305	11.7	10.9
306	11.6	10.9
307	11.6	10.8
308	11.6	10.8
309	11.6	10.8
310	11.7	10.8
311	11.6	10.8
312	11.6	10.8
313	9.8	10.8
314	10.0	10.8
315	10.2	10.8
316	10.3	10.8
317	10.4	10.8
318	10.5	10.8
319	10.6	10.8
320	12.6	10.8
321	12.6	10.8
322	12.4	10.8
323	12.0	10.8
324	11.8	10.8
325	11.6	10.8
326	11.5	10.8
327	11.5	10.8
328	11.6	10.8
329	11.8	10.8
330	12.1	10.8
331	12.2	10.8
332	12.4	10.7
333	12.6	10.7
334	12.7	10.7
335	12.9	10.7
336	13.1	10.7
337	11.5	10.7
338	11.5	10.7
339	11.6	10.7
340	11.7	10.7
341	11.8	10.7
342	11.9	10.7
343	12.0	10.7
344	14.0	10.7
345	13.9	10.7
346	13.5	10.7
347	13.2	10.7
348	13.0	10.7
349	12.8	10.7
350	12.7	10.7
351	12.8	10.7
352	13.0	10.6
353	13.2	10.6
354	13.2	10.6
355	13.2	10.6
356	13.3	10.6
357	13.3	10.6
358	13.3	10.6
359	13.3	10.6
360	13.4	10.6
361	11.4	10.6
362	11.3	10.6
363	11.3	10.6
364	11.2	10.6
365	11.1	10.6
366	11.1	10.6
367	11.0	10.6
368	12.9	10.6
369	12.8	10.5
370	12.6	10.5
371	12.4	10.5
372	12.3	10.5
373	12.1	10.5
374	11.0	10.5
375	10.3	10.5
376	10.1	10.5
377	10.5	10.5
378	10.6	10.5
379	10.7	10.5
380	10.8	10.5
381	10.9	10.5
382	10.9	10.5
383	11.0	10.5
384	11.1	10.5
385	9.4	10.5
386	9.6	10.5
387	9.8	10.4
388	9.9	10.4
389	10.0	10.4
390	10.1	10.4
391	10.2	10.4
392	12.2	10.4
393	12.1	10.4
394	10.8	10.4
395	9.6	10.4
396	8.5	10.4
397	7.9	10.4
398	7.5	10.4
399	7.5	10.4
400	8.0	10.4
401	8.9	10.4
402	9.0	10.4
403	9.1	10.4
404	9.2	10.4
405	9.4	10.4
406	9.5	10.4
407	9.6	10.4
408	9.7	10.4
409	7.9	10.4
410	7.9	10.4
411	8.0	10.4
412	8.0	10.4
413	8.0	10.3
414	8.0	10.3
415	8.0	10.3
416	10.0	10.3
417	10.0	10.3
418	9.8	10.3
419	9.6	10.3
420	9.5	10.3
421	9.3	10.3
422	8.0	10.3
