# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	17.8	83.7
2	19.1	83.2
3	20.5	82.4
4	21.0	81.6
5	21.5	81.1
6	22.1	80.3
7	22.3	80.3
8	33.2	80.0
9	32.7	79.5
10	29.0	78.9
11	25.5	78.1
12	22.6	76.5
13	20.7	76.5
14	19.7	76.3
15	19.7	76.0
16	21.0	75.7
17	22.9	75.2
18	24.7	74.9
19	26.3	74.4
20	27.9	74.1
21	29.5	74.1
22	31.1	74.1
23	33.0	73.9
24	34.5	73.9
25	27.1	73.6
26	30.8	73.2
27	34.3	73.1
28	36.4	73.1
29	38.3	73.0
30	40.4	72.8
31	41.7	72.6
32	53.9	72.6
33	53.9	72.6
34	49.2	72.3
35	45.2	72.2
36	41.5	72.0
37	39.3	72.0
38	38.3	72.0
39	38.3	72.0
40	40.4	72.0
41	43.9	71.8
42	45.2	71.5
43	46.5	71.5
44	47.8	71.3
45	48.9	71.2
46	50.2	71.1
47	51.6	71.1
48	52.9	70.8
49	42.0	70.8
50	41.5	70.7
51	40.9	70.7
52	40.7	70.4
53	40.4	70.4
54	40.1	70.3
55	39.9	70.3
56	50.2	70.0
57	49.7	69.9
58	45.4	69.9
59	41.7	69.9
60	39.3	69.9
61	37.5	69.7
62	36.4	69.7
63	36.4	69.6
64	37.5	69.6
65	39.6	69.5
66	40.4	69.5
67	40.9	69.4
68	41.5	69.4
69	42.0	69.2
70	42.8	68.8
71	43.3	68.8
72	43.9	68.8
73	34.3	68.7
74	36.1	68.7
75	37.2	68.6
76	37.7	68.4
77	38.5	68.4
78	39.1	68.4
79	39.6	68.3
80	50.8	68.0
81	50.8	67.9
82	49.4	67.8
83	48.4	67.6
84	47.8	67.5
85	47.6	67.5
86	47.3	67.3
87	47.6	67.3
88	48.1	67.3
89	48.9	67.2
90	49.7	67.1
91	50.2	67.0
92	51.0	67.0
93	51.6	66.8
94	52.4	66.7
95	53.2	66.4
96	54.7	66.4
97	43.3	66.4
98	43.3	66.2
99	43.3	66.2
100	43.6	66.2
101	43.3	66.2
102	43.3	66.2
103	43.3	66.2
104	53.9	66.2
105	53.7	66.0
106	51.6	66.0
107	49.4	66.0
108	47.6	66.0
109	46.5	65.9
110	45.7	65.9
111	45.4	65.7
112	46.2	65.7
113	47.6	65.7
114	48.4	65.7
115	49.2	65.7
116	50.0	65.7
117	50.8	65.7
118	51.8	65.6
119	52.4	65.4
120	53.9	65.4
121	43.6	65.4
122	44.9	65.4
123	46.2	65.2
124	47.0	65.2
125	47.6	65.1
126	48.1	64.9
127	48.6	64.9
128	59.8	64.9
129	59.8	64.8
130	58.2	64.6
131	56.6	64.6
132	55.5	64.6
133	54.7	64.3
134	54.5	64.3
135	54.5	64.3
136	55.0	64.3
137	56.3	64.1
138	56.9	64.1
139	57.7	64.1
140	58.2	64.0
141	59.0	64.0
142	59.8	64.0
143	60.3	63.8
144	61.1	63.8
145	50.5	63.8
146	50.8	63.8
147	50.8	63.8
148	50.8	63.8
149	50.8	63.6
150	50.8	63.6
151	50.8	63.5
152	61.4	63.5
153	60.6	63.5
154	55.5	63.3
155	51.0	63.3
156	47.0	63.3
157	44.1	63.3
158	42.5	63.3
159	42.8	63.3
160	44.9	63.3
161	47.8	63.3
162	48.6	63.3
163	49.4	63.3
164	50.2	63.3
165	51.0	63.3
166	51.8	63.3
167	52.9	63.0
168	53.7	63.0
169	44.6	63.0
170	45.7	63.0
171	47.0	62.8
172	47.8	62.7
173	48.6	62.7
174	49.4	62.7
175	50.0	62.7
176	61.1	62.7
177	61.1	62.7
178	59.3	62.7
179	58.5	62.7
180	58.7	62.6
181	58.7	62.5
182	56.3	62.5
183	55.3	62.5
184	55.0	62.5
185	56.3	62.5
186	57.4	62.5
187	58.5	62.5
188	59.3	62.5
189	60.3	62.5
190	61.1	62.2
191	62.2	62.2
192	63.3	62.2
193	53.2	62.2
194	53.7	62.2
195	54.2	62.2
196	54.5	62.1
197	54.7	61.9
198	55.3	61.9
199	55.5	61.9
200	66.2	61.9
201	65.9	61.9
202	63.8	61.9
203	61.9	61.9
204	60.3	61.9
205	59.3	61.7
206	59.0	61.7
207	58.7	61.7
208	59.5	61.7
209	61.1	61.7
210	61.4	61.6
211	61.7	61.6
212	62.5	61.4
213	62.5	61.4
214	62.5	61.4
215	62.7	61.4
216	63.3	61.4
217	52.6	61.4
218	52.6	61.4
219	52.9	61.4
220	52.9	61.4
221	52.9	61.1
222	52.9	61.1
223	52.9	61.1
224	63.5	61.1
225	63.3	61.1
226	61.1	61.1
227	59.0	61.1
228	57.4	61.1
229	56.6	61.1
230	55.8	61.1
231	55.8	61.1
232	56.3	61.1
233	57.7	61.1
234	58.2	61.1
235	58.7	61.1
236	59.8	60.9
237	59.0	60.9
238	59.5	60.9
239	59.8	60.9
240	60.1	60.9
241	50.0	60.9
242	50.2	60.9
243	50.5	60.6
244	50.8	60.6
245	50.8	60.6
246	50.8	60.6
247	50.8	60.6
248	61.7	60.6
249	61.1	60.6
250	57.4	60.4
251	53.9	60.4
252	50.8	60.3
253	48.6	60.3
254	47.3	60.3
255	47.0	60.3
256	48.1	60.3
257	50.2	60.3
258	51.8	60.3
259	53.4	60.3
260	54.7	60.3
261	56.3	60.3
262	57.9	60.3
263	59.5	60.3
264	60.9	60.1
265	53.2	60.1
266	56.9	60.1
267	60.3	60.1
268	62.5	60.1
269	64.3	60.1
270	66.4	60.1
271	68.0	60.1
272	80.3	60.1
273	80.0	60.1
274	78.1	60.1
275	76.3	60.1
276	73.9	59.9
277	73.1	59.8
278	74.4	59.8
279	75.2	59.8
280	76.5	59.8
281	78.9	59.8
282	79.5	59.8
283	80.3	59.8
284	81.1	59.8
285	81.6	59.8
286	82.4	59.8
287	83.2	59.8
288	83.7	59.8
289	72.0	59.7
290	71.2	59.7
291	68.3	59.5
292	67.0	59.5
293	65.9	59.5
294	64.8	59.5
295	64.0	59.5
296	73.9	59.5
297	73.1	59.5
298	69.6	59.5
299	66.4	59.3
300	64.0	59.3
301	62.2	59.3
302	61.4	59.3
303	61.1	59.2
304	61.9	59.2
305	63.5	59.2
306	63.3	59.2
307	63.3	59.2
308	63.3	59.2
309	63.3	59.2
310	63.5	59.0
311	63.0	59.0
312	63.0	59.0
313	53.4	59.0
314	54.5	59.0
315	55.5	59.0
316	56.1	59.0
317	56.9	59.0
318	57.4	58.7
319	57.9	58.7
320	68.8	58.7
321	68.8	58.7
322	67.5	58.7
323	65.4	58.7
324	64.0	58.7
325	63.3	58.7
326	62.7	58.7
327	62.7	58.7
328	63.3	58.7
329	64.3	58.5
330	65.6	58.5
331	66.4	58.4
332	67.5	58.4
333	68.6	58.4
334	69.4	58.4
335	70.4	58.4
336	71.5	58.4
337	62.5	58.4
338	62.5	58.2
339	63.3	58.2
340	63.8	58.2
341	64.3	58.2
342	64.6	58.2
343	65.1	58.2
344	76.0	58.2
345	75.7	58.2
346	73.6	58.0
347	72.0	58.0
348	70.7	57.9
349	69.6	57.9
350	69.4	57.9
351	69.9	57.9
352	70.7	57.9
353	71.8	57.9
354	72.0	57.9
355	72.0	57.9
356	72.3	57.9
357	72.6	57.7
358	72.6	57.7
359	72.6	57.6
360	72.8	57.6
361	61.9	57.6
362	61.7	57.6
363	61.4	57.6
364	60.9	57.4
365	60.6	57.4
366	60.3	57.4
367	60.1	57.4
368	70.4	57.4
369	69.9	57.4
370	68.8	57.4
371	67.8	57.4
372	67.0	57.4
373	66.2	57.4
374	59.8	57.4
375	56.3	57.2
376	55.3	57.1
377	57.4	57.1
378	57.9	57.1
379	58.2	57.1
380	58.7	57.1
381	59.3	57.1
382	59.5	57.0
383	60.1	57.0
384	60.3	56.9
385	51.0	56.9
386	52.1	56.9
387	53.4	56.9
388	53.9	56.8
389	54.5	56.8
390	55.3	56.8
391	55.5	56.8
392	66.7	56.8
393	66.2	56.8
394	59.0	56.7
395	52.4	56.7
396	46.5	56.6
397	42.8	56.6
398	40.9	56.6
399	40.9	56.6
400	43.6	56.6
401	48.4	56.6
402	48.9	56.6
403	49.7	56.5
404	50.2	56.5
405	51.0	56.3
406	51.6	56.3
407	52.4	56.3
408	52.9	56.3
409	42.8	56.3
410	43.1	56.3
411	43.6	56.3
412	43.6	56.3
413	43.9	56.3
414	43.9	56.3
415	43.9	56.3
416	54.7	56.3
417	54.2	56.2
418	53.4	56.1
419	52.4	56.0
420	51.6	56.0
421	50.5	56.0
422	43.6	56.0
423	40.1	56.0
424	39.1	56.0
425	41.5	56.0
426	42.0	55.8
427	42.5	55.8
428	43.1	55.8
429	43.3	55.7
430	43.9	55.7
431	44.4	55.7
432	44.9	55.7
433	35.1	55.5
434	35.9	55.5
435	36.7	55.5
436	36.9	55.5
437	37.2	55.5
438	37.7	55.5
439	37.7	55.5
440	48.6	55.5
441	48.4	55.5
442	47.6	55.5
443	47.0	55.5
444	46.2	55.5
445	46.0	55.5
446	39.9	55.5
447	35.9	55.5
448	34.3	55.3
449	36.4	55.3
450	37.2	55.3
451	38.3	55.3
452	39.1	55.3
453	40.1	55.3
454	41.2	55.3
455	42.0	55.2
456	43.1	55.2
457	33.5	55.2
458	34.8	55.2
459	36.1	55.2
460	36.9	55.0
461	37.7	55.0
462	38.5	55.0
463	38.8	55.0
464	50.0	55.0
465	49.7	54.9
466	48.9	54.9
467	48.6	54.9
468	47.8	54.9
469	47.3	54.9
470	42.3	54.9
471	40.1	54.8
