# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	12.8	60.4
2	13.8	60.0
3	14.8	59.4
4	15.1	58.9
5	15.5	58.5
6	15.9	57.9
7	16.1	57.9
8	24.0	57.7
9	23.6	57.3
10	20.9	56.9
11	18.4	56.4
12	16.3	55.3
13	15.0	55.2
14	14.2	55.0
15	14.2	54.8
16	15.1	54.6
17	16.5	54.3
18	17.8	54.2
19	19.0	53.7
20	20.1	53.6
21	21.3	53.6
22	22.4	53.6
23	23.8	53.3
24	24.9	53.3
25	19.6	53.1
26	22.2	53.0
27	24.7	52.8
28	26.3	52.7
29	27.6	52.7
30	29.1	52.5
31	30.1	52.3
32	38.9	52.3
33	38.9	52.3
34	35.5	52.2
35	32.6	52.1
36	29.9	52.0
37	28.4	52.0
38	27.6	52.0
39	27.6	52.0
40	29.1	52.0
41	31.6	51.8
42	32.6	51.6
43	33.5	51.6
44	34.5	51.4
45	35.3	51.4
46	36.2	51.4
47	37.2	51.2
48	38.1	51.2
49	30.3	51.0
50	29.9	51.0
51	29.5	50.8
52	29.3	50.8
53	29.1	50.8
54	28.9	50.8
55	28.8	50.6
56	36.2	50.6
57	35.8	50.5
58	32.8	50.5
59	30.1	50.4
60	28.4	50.4
61	27.0	50.3
62	26.3	50.3
63	26.3	50.2
64	27.0	50.2
65	28.6	50.1
66	29.1	50.0
67	29.5	50.0
68	29.9	49.7
69	30.3	49.7
70	30.9	49.7
71	31.2	49.7
72	31.6	49.7
73	24.7	49.5
74	26.1	49.5
75	26.8	49.5
76	27.2	49.5
77	27.8	49.5
78	28.2	49.3
79	28.6	49.1
80	36.6	49.1
81	36.6	48.9
82	35.7	48.9
83	34.9	48.7
84	34.5	48.7
85	34.3	48.7
86	34.1	48.7
87	34.3	48.7
88	34.7	48.5
89	35.3	48.5
90	35.8	48.3
91	36.2	48.3
92	36.8	48.3
93	37.2	48.1
94	37.8	47.9
95	38.3	47.9
96	39.5	47.9
97	31.2	47.9
98	31.2	47.9
99	31.2	47.7
100	31.4	47.7
101	31.2	47.7
102	31.2	47.7
103	31.2	47.7
104	38.9	47.7
105	38.7	47.7
106	37.2	47.7
107	35.7	47.6
108	34.3	47.5
109	33.5	47.5
110	33.0	47.5
111	32.8	47.5
112	33.4	47.5
113	34.3	47.5
114	34.9	47.5
115	35.5	47.5
116	36.0	47.3
117	36.6	47.3
118	37.4	47.3
119	37.8	47.3
120	38.9	47.2
121	31.4	47.1
122	32.4	47.1
123	33.4	47.0
124	33.9	46.9
125	34.3	46.9
126	34.7	46.9
127	35.1	46.9
128	43.1	46.8
129	43.1	46.8
130	42.0	46.8
131	40.8	46.6
132	40.1	46.6
133	39.5	46.4
134	39.3	46.4
135	39.3	46.4
136	39.7	46.4
137	40.6	46.4
138	41.0	46.4
139	41.6	46.2
140	42.0	46.2
141	42.6	46.2
142	43.1	46.2
143	43.5	46.2
144	44.1	46.2
145	36.4	46.0
146	36.6	46.0
147	36.6	46.0
148	36.6	46.0
149	36.6	45.8
150	36.6	45.8
151	36.6	45.8
152	44.3	45.8
153	43.7	45.8
154	40.1	45.8
155	36.8	45.6
156	33.9	45.6
157	31.8	45.6
158	30.7	45.6
159	30.9	45.6
160	32.4	45.6
161	34.5	45.6
162	35.1	45.6
163	35.7	45.6
164	36.2	45.6
165	36.8	45.6
166	37.4	45.6
167	38.1	45.6
168	38.7	45.4
169	32.2	45.4
170	33.0	45.4
171	33.9	45.4
172	34.5	45.4
173	35.1	45.4
174	35.7	45.4
175	36.0	45.2
176	44.1	45.2
177	44.1	45.2
178	42.7	45.2
179	42.2	45.2
180	42.4	45.2
181	42.4	45.2
182	40.6	45.0
183	39.9	45.0
184	39.7	45.0
185	40.6	45.0
186	41.4	45.0
187	42.2	45.0
188	42.7	45.0
189	43.5	45.0
190	44.1	45.0
191	44.9	45.0
192	45.6	44.9
193	38.3	44.9
194	38.7	44.8
195	39.1	44.8
196	39.3	44.8
197	39.5	44.8
198	39.9	44.7
199	40.1	44.7
200	47.7	44.7
201	47.5	44.7
202	46.0	44.6
203	44.7	44.6
204	43.5	44.5
205	42.7	44.5
206	42.6	44.5
207	42.4	44.5
208	42.9	44.4
209	44.1	44.4
210	44.3	44.3
211	44.5	44.3
212	45.0	44.3
213	45.0	44.3
214	45.0	44.3
215	45.2	44.2
216	45.6	44.2
217	38.0	44.2
218	38.0	44.2
219	38.1	44.1
220	38.1	44.1
221	38.1	44.1
222	38.1	44.1
223	38.1	44.1
224	45.8	44.1
225	45.6	44.1
226	44.1	44.1
227	42.6	44.1
228	41.4	44.0
229	40.8	44.0
230	40.3	44.0
231	40.3	43.9
232	40.6	43.9
233	41.6	43.9
234	42.0	43.8
235	42.4	43.8
236	43.1	43.7
237	42.6	43.7
238	42.9	43.7
239	43.1	43.7
240	43.3	43.6
241	36.0	43.6
242	36.2	43.6
243	36.4	43.6
244	36.6	43.6
245	36.6	43.5
246	36.6	43.5
247	36.6	43.5
248	44.5	43.5
249	44.1	43.5
250	41.4	43.5
251	38.9	43.5
252	36.6	43.5
253	35.1	43.5
254	34.1	43.5
255	33.9	43.4
256	34.7	43.4
257	36.2	43.4
258	37.4	43.4
259	38.5	43.4
260	39.5	43.3
261	40.6	43.3
262	41.8	43.3
263	42.9	43.3
264	43.9	43.3
265	38.3	43.3
266	41.0	43.2
267	43.5	43.2
268	45.0	43.2
269	46.4	43.2
270	47.9	43.2
271	49.1	43.2
272	57.9	43.1
273	57.7	43.1
274	56.4	43.1
275	55.0	43.1
276	53.3	43.1
277	52.7	43.1
278	53.7	43.1
279	54.3	43.1
280	55.2	43.1
281	56.9	43.1
282	57.3	43.1
283	57.9	43.0
284	58.5	43.0
285	58.9	43.0
286	59.4	42.9
287	60.0	42.9
288	60.4	42.9
289	52.0	42.9
290	51.4	42.9
291	49.3	42.9
292	48.3	42.9
293	47.5	42.9
294	46.8	42.9
295	46.2	42.9
296	53.3	42.9
297	52.7	42.9
298	50.2	42.8
299	47.9	42.8
300	46.2	42.7
301	44.9	42.7
302	44.3	42.7
303	44.1	42.7
304	44.7	42.7
305	45.8	42.7
306	45.6	42.7
307	45.6	42.6
308	45.6	42.6
309	45.6	42.6
310	45.8	42.6
311	45.4	42.6
312	45.4	42.6
313	38.5	42.6
314	39.3	42.6
315	40.1	42.5
316	40.4	42.5
317	41.0	42.5
318	41.4	42.5
319	41.8	42.4
320	49.7	42.4
321	49.7	42.4
322	48.7	42.4
323	47.2	42.4
324	46.2	42.4
325	45.6	42.4
326	45.2	42.4
327	45.2	42.3
328	45.6	42.3
329	46.4	42.3
330	47.3	42.3
331	47.9	42.3
332	48.7	42.3
333	49.5	42.3
334	50.0	42.2
335	50.8	42.2
336	51.6	42.1
337	45.0	42.1
338	45.0	42.1
339	45.6	42.0
340	46.0	42.0
341	46.4	42.0
342	46.6	42.0
343	47.0	42.0
344	54.8	41.9
345	54.6	41.9
346	53.1	41.9
347	52.0	41.9
348	51.0	41.9
349	50.2	41.9
350	50.0	41.8
351	50.4	41.8
352	51.0	41.8
353	51.8	41.7
354	52.0	41.7
355	52.0	41.7
356	52.1	41.7
357	52.3	41.7
358	52.3	41.6
359	52.3	41.6
360	52.5	41.5
361	44.7	41.5
362	44.5	41.5
363	44.3	41.5
364	43.9	41.4
365	43.7	41.4
366	43.5	41.4
367	43.3	41.4
368	50.8	41.4
369	50.4	41.4
370	49.7	41.4
371	48.9	41.4
372	48.3	41.4
373	47.7	41.3
374	43.1	41.3
375	40.6	41.3
376	39.9	41.3
377	41.4	41.3
378	41.8	41.1
379	42.0	41.1
380	42.4	41.1
381	42.7	41.1
382	42.9	41.1
383	43.3	41.1
384	43.5	41.1
385	36.8	41.0
386	37.6	41.0
387	38.5	41.0
388	38.9	41.0
389	39.3	40.9
390	39.9	40.9
391	40.1	40.9
392	48.1	40.9
393	47.7	40.8
394	42.6	40.8
395	37.8	40.8
396	33.5	40.7
397	30.9	40.7
398	29.5	40.7
399	29.5	40.7
400	31.4	40.7
401	34.9	40.7
402	35.3	40.6
403	35.8	40.6
404	36.2	40.6
405	36.8	40.6
406	37.2	40.6
407	37.8	40.6
408	38.1	40.5
409	30.9	40.5
410	31.1	40.5
411	31.4	40.5
412	31.4	40.5
413	31.6	40.5
414	31.6	40.4
415	31.6	40.4
416	39.5	40.4
417	39.1	40.3
418	38.5	40.3
419	37.8	40.3
420	37.2	40.3
421	36.4	40.3
422	31.4	40.3
423	28.9	40.3
424	28.2	40.2
425	29.9	40.2
426	30.3	40.1
427	30.7	40.1
428	31.1	40.1
429	31.2	40.1
430	31.6	40.1
431	32.0	40.1
432	32.4	40.1
433	25.3	40.1
434	25.9	40.1
435	26.5	40.1
436	26.6	40.1
437	26.8	40.1
438	27.2	40.0
439	27.2	40.0
440	35.1	39.9
441	34.9	39.9
442	34.3	39.9
443	33.9	39.9
444	33.4	39.9
445	33.2	39.9
446	28.8	39.9
447	25.9	39.9
448	24.7	39.9
449	26.3	39.9
450	26.8	39.7
451	27.6	39.7
452	28.2	39.7
453	28.9	39.7
454	29.7	39.7
455	30.3	39.7
456	31.1	39.7
457	24.2	39.7
458	25.1	39.7
459	26.1	39.7
460	26.6	39.7
461	27.2	39.5
462	27.8	39.5
463	28.0	39.5
464	36.0	39.5
465	35.8	39.5
466	35.3	39.5
