# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	7.3	34.5
2	7.9	34.3
3	8.4	34.0
4	8.7	33.6
5	8.9	33.4
6	9.1	33.1
7	9.2	33.1
8	13.7	33.0
9	13.5	32.8
10	11.9	32.5
11	10.5	32.2
12	9.3	31.6
13	8.5	31.5
14	8.1	31.4
15	8.1	31.3
16	8.7	31.2
17	9.4	31.0
18	10.2	30.8
19	10.8	30.7
20	11.5	30.5
21	12.2	30.5
22	12.8	30.5
23	13.6	30.5
24	14.2	30.5
25	11.2	30.4
26	12.7	30.2
27	14.1	30.1
28	15.0	30.1
29	15.8	30.0
30	16.7	30.0
31	17.2	29.9
32	22.2	29.9
33	22.2	29.9
34	20.3	29.9
35	18.6	29.8
36	17.1	29.7
37	16.2	29.7
38	15.8	29.7
39	15.8	29.7
40	16.7	29.7
41	18.1	29.7
42	18.6	29.6
43	19.2	29.5
44	19.7	29.5
45	20.2	29.4
46	20.7	29.3
47	21.3	29.3
48	21.8	29.3
49	17.3	29.3
50	17.1	29.2
51	16.9	29.2
52	16.8	29.1
53	16.7	29.1
54	16.5	29.0
55	16.4	29.0
56	20.7	28.9
57	20.5	28.9
58	18.7	28.8
59	17.2	28.8
60	16.2	28.8
61	15.4	28.7
62	15.0	28.7
63	15.0	28.7
64	15.4	28.7
65	16.3	28.7
66	16.7	28.6
67	16.9	28.6
68	17.1	28.6
69	17.3	28.6
70	17.6	28.5
71	17.9	28.4
72	18.1	28.4
73	14.1	28.4
74	14.9	28.3
75	15.3	28.3
76	15.6	28.3
77	15.9	28.2
78	16.1	28.2
79	16.3	28.2
80	20.9	28.1
81	20.9	28.0
82	20.4	27.9
83	19.9	27.9
84	19.7	27.8
85	19.6	27.8
86	19.5	27.8
87	19.6	27.7
88	19.8	27.7
89	20.2	27.7
90	20.5	27.7
91	20.7	27.6
92	21.0	27.6
93	21.3	27.6
94	21.6	27.5
95	21.9	27.5
96	22.6	27.5
97	17.9	27.4
98	17.9	27.4
99	17.9	27.4
100	18.0	27.3
101	17.9	27.3
102	17.9	27.3
103	17.9	27.3
104	22.2	27.3
105	22.1	27.3
106	21.3	27.2
107	20.4	27.2
108	19.6	27.2
109	19.2	27.2
110	18.8	27.2
111	18.7	27.2
112	19.1	27.1
113	19.6	27.1
114	19.9	27.1
115	20.3	27.1
116	20.6	27.1
117	20.9	27.1
118	21.4	27.1
119	21.6	27.0
120	22.2	26.9
121	18.0	26.9
122	18.5	26.9
123	19.1	26.9
124	19.4	26.8
125	19.6	26.8
126	19.8	26.8
127	20.1	26.7
128	24.7	26.7
129	24.7	26.7
130	24.0	26.7
131	23.3	26.7
132	22.9	26.6
133	22.6	26.6
134	22.5	26.6
135	22.5	26.5
136	22.7	26.5
137	23.2	26.5
138	23.4	26.4
139	23.8	26.4
140	24.0	26.4
141	24.3	26.4
142	24.7	26.4
143	24.9	26.4
144	25.2	26.3
145	20.8	26.3
146	20.9	26.3
147	20.9	26.3
148	20.9	26.3
149	20.9	26.3
150	20.9	26.2
151	20.9	26.2
152	25.3	26.2
153	25.0	26.2
154	22.9	26.2
155	21.0	26.2
156	19.4	26.1
157	18.2	26.1
158	17.5	26.1
159	17.6	26.1
160	18.5	26.1
161	19.7	26.1
162	20.1	26.1
163	20.4	26.1
164	20.7	26.1
165	21.0	26.1
166	21.4	26.1
167	21.8	26.1
168	22.1	26.1
169	18.4	26.0
170	18.8	26.0
171	19.4	26.0
172	19.7	25.9
173	20.1	25.9
