# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	3.5	16.4
2	3.7	16.3
3	4.0	16.1
4	4.1	16.0
5	4.2	15.9
6	4.3	15.7
7	4.4	15.7
8	6.5	15.7
9	6.4	15.6
10	5.7	15.5
11	5.0	15.3
12	4.4	15.0
13	4.1	14.9
14	3.9	14.9
15	3.9	14.9
16	4.1	14.8
17	4.5	14.7
18	4.8	14.6
19	5.2	14.6
20	5.5	14.5
21	5.8	14.5
22	6.1	14.5
23	6.5	14.5
24	6.8	14.5
25	5.3	14.4
26	6.0	14.3
27	6.7	14.3
28	7.1	14.3
29	7.5	14.3
30	7.9	14.2
31	8.2	14.2
32	10.6	14.2
33	10.6	14.2
34	9.6	14.2
35	8.9	14.1
36	8.1	14.1
37	7.7	14.1
38	7.5	14.1
39	7.5	14.1
40	7.9	14.1
41	8.6	14.1
42	8.9	14.0
43	9.1	14.0
44	9.4	14.0
45	9.6	13.9
46	9.8	13.9
47	10.1	13.9
48	10.4	13.9
49	8.2	13.9
50	8.1	13.8
51	8.0	13.8
52	8.0	13.8
53	7.9	13.8
54	7.9	13.7
55	7.8	13.7
56	9.8	13.7
57	9.7	13.7
58	8.9	13.7
59	8.2	13.7
60	7.7	13.7
61	7.3	13.6
62	7.1	13.6
63	7.1	13.6
64	7.3	13.6
65	7.8	13.6
66	7.9	13.6
67	8.0	13.6
68	8.1	13.6
69	8.2	13.5
70	8.4	13.5
71	8.5	13.5
72	8.6	13.5
73	6.7	13.4
74	7.1	13.4
75	7.3	13.4
76	7.4	13.4
77	7.6	13.4
78	7.7	13.4
79	7.8	13.4
80	9.9	13.3
81	9.9	13.3
82	9.7	13.2
83	9.5	13.2
84	9.4	13.2
85	9.3	13.2
86	9.3	13.1
87	9.3	13.1
88	9.4	13.1
89	9.6	13.1
90	9.7	13.1
91	9.8	13.1
92	10.0	13.1
93	10.1	13.1
94	10.3	13.0
95	10.4	13.0
96	10.7	13.0
97	8.5	13.0
98	8.5	13.0
99	8.5	13.0
100	8.5	13.0
101	8.5	13.0
102	8.5	12.9
103	8.5	12.9
104	10.6	12.9
105	10.5	12.9
106	10.1	12.9
107	9.7	12.9
108	9.3	12.9
109	9.1	12.9
110	9.0	12.9
111	8.9	12.9
112	9.1	12.8
113	9.3	12.8
114	9.5	12.8
115	9.6	12.8
116	9.8	12.8
117	9.9	12.8
118	10.2	12.8
119	10.3	12.8
120	10.6	12.8
121	8.5	12.8
122	8.8	12.8
123	9.1	12.8
124	9.2	12.7
125	9.3	12.7
126	9.4	12.7
127	9.5	12.7
128	11.7	12.7
129	11.7	12.7
130	11.4	12.7
131	11.1	12.6
132	10.9	12.6
133	10.7	12.6
134	10.7	12.6
135	10.7	12.6
136	10.8	12.6
137	11.0	12.6
138	11.1	12.6
139	11.3	12.6
140	11.4	12.5
141	11.6	12.5
142	11.7	12.5
143	11.8	12.5
144	12.0	12.5
145	9.9	12.5
146	9.9	12.5
147	9.9	12.5
148	9.9	12.5
149	9.9	12.4
150	9.9	12.4
151	9.9	12.4
152	12.0	12.4
153	11.9	12.4
154	10.9	12.4
155	10.0	12.4
156	9.2	12.4
157	8.6	12.4
158	8.3	12.4
159	8.4	12.4
160	8.8	12.4
161	9.4	12.4
162	9.5	12.4
163	9.7	12.4
164	9.8	12.4
165	10.0	12.4
166	10.2	12.4
167	10.4	12.3
168	10.5	12.3
169	8.7	12.3
170	9.0	12.3
171	9.2	12.3
172	9.4	12.3
173	9.5	12.3
174	9.7	12.3
175	9.8	12.3
176	12.0	12.3
177	12.0	12.3
178	11.6	12.3
179	11.5	12.3
180	11.5	12.2
181	11.5	12.2
182	11.0	12.2
183	10.8	12.2
184	10.8	12.2
185	11.0	12.2
186	11.2	12.2
187	11.5	12.2
188	11.6	12.2
189	11.8	12.2
190	12.0	12.2
191	12.2	12.2
192	12.4	12.1
193	10.4	12.1
194	10.5	12.1
195	10.6	12.1
196	10.7	12.1
197	10.7	12.1
198	10.8	12.1
199	10.9	12.1
200	13.0	12.1
201	12.9	12.1
202	12.5	12.1
203	12.1	12.1
204	11.8	12.1
205	11.6	12.1
206	11.6	12.1
207	11.5	12.1
208	11.7	12.0
209	12.0	12.0
210	12.0	12.0
211	12.1	12.0
212	12.2	12.0
213	12.2	12.0
